county,year_month,year,month,pop_est,adult_pop,democratic_active,republican_active,no_party_active,other_active,total_active,democratic_inactive,republican_inactive,no_party_inactive,other_inactive,total_inactive,grand_total,file_path,libertarian_active,libertarian_inactive,dem_active_pct,rep_active_pct,no_party_active_pct,lib_active_pct,two_party_active_pct,active_pct,inactive_pct,reg_pct,dem_reg_pct,rep_reg_pct,two_party_reg_pct
Jefferson,2014-05,2014,5,17795,14908,3330,3386,3380,56,10152,432,310,769,9,1520,11672,Voter Registration/data_csv/2014-05.csv,NA,NA,0.28529814941740916,0.2900959561343386,0.2895819054146676,NA,0.5753941055517477,0.8697738176833447,0.13022618231665525,0.782935336731956,0.25234773276093375,0.24792057955460156,0.5002683123155354
Johnson,2014-05,2014,5,142874,113780,37821,18029,31348,451,87649,7938,3637,8681,106,20362,108011,Voter Registration/data_csv/2014-05.csv,NA,NA,0.3501587801242466,0.16691818425901064,0.2902296988269713,NA,0.5170769643832572,0.8114821638536815,0.18851783614631842,0.949296888732642,0.402170856037968,0.19042010898224643,0.5925909650202144
Jones,2014-05,2014,5,20553,16099,3359,3523,5931,12,12825,203,168,497,0,868,13693,Voter Registration/data_csv/2014-05.csv,NA,NA,0.2453078215146425,0.25728474402979623,0.4331410209596144,NA,0.5025925655444388,0.9366099466880888,0.0633900533119112,0.8505497235853159,0.2212559786322132,0.2292688986893596,0.45052487732157276
Keokuk,2014-05,2014,5,10282,7905,2161,2237,2322,3,6723,141,96,272,1,510,7233,Voter Registration/data_csv/2014-05.csv,NA,NA,0.29876952854970273,0.30927692520392647,0.3210286188303608,NA,0.6080464537536292,0.9294898382413936,0.07051016175860639,0.9149905123339659,0.29120809614168247,0.29512966476913344,0.5863377609108159
Kossuth,2014-05,2014,5,15221,11897,3346,3317,4227,8,10898,178,153,480,1,812,11710,Voter Registration/data_csv/2014-05.csv,NA,NA,0.28573868488471393,0.28326216908625107,0.3609735269000854,NA,0.569000853970965,0.9306575576430401,0.06934244235695987,0.9842817517021097,0.2962091283516853,0.2916701689501555,0.5878792973018407
Lee,2014-05,2014,5,35077,27482,9458,4010,8175,37,21680,761,353,1076,1,2191,23871,Voter Registration/data_csv/2014-05.csv,NA,NA,0.39621297809057016,0.16798625947802773,0.3424657534246575,NA,0.5641992375685979,0.9082149888986637,0.09178501110133636,0.8686049050287461,0.3718433883996798,0.1587584600829634,0.5306018484826431
Linn,2014-05,2014,5,218223,166224,48634,37036,52537,423,138630,5113,3065,5947,38,14163,152793,Voter Registration/data_csv/2014-05.csv,NA,NA,0.3182999221168509,0.24239330335813813,0.34384428606022527,NA,0.560693225474989,0.9073059629695077,0.09269403703049224,0.9191993935893734,0.32334079314659736,0.2412467513716431,0.5645875445182404
Louisa,2014-05,2014,5,11254,8593,1731,2346,2476,6,6559,245,149,454,0,848,7407,Voter Registration/data_csv/2014-05.csv,NA,NA,0.233697853381936,0.31672742000810045,0.33427838531119214,NA,0.5504252733900364,0.885513703253679,0.11448629674632105,0.8619806819504248,0.22995461422087746,0.29035261259164435,0.5203072268125218
Lucas,2014-05,2014,5,8633,6615,1382,2009,2024,3,5418,130,142,310,0,582,6000,Voter Registration/data_csv/2014-05.csv,NA,NA,0.23033333333333333,0.3348333333333333,0.3373333333333333,NA,0.5651666666666666,0.903,0.097,0.9070294784580499,0.22857142857142856,0.3251700680272109,0.5537414965986395
Lyon,2014-05,2014,5,11709,8412,864,5275,1715,3,7857,112,233,272,0,617,8474,Voter Registration/data_csv/2014-05.csv,NA,NA,0.10195893320745811,0.6224923294784045,0.2023837620958225,NA,0.7244512626858626,0.9271890488553222,0.07281095114467784,1.0073704232049454,0.11602472658107466,0.6547788873038516,0.7708036138849262
Madison,2014-05,2014,5,15620,11529,2791,3766,3750,15,10322,225,279,473,0,977,11299,Voter Registration/data_csv/2014-05.csv,NA,NA,0.24701301000088505,0.3333038321975396,0.33188777767944067,NA,0.5803168421984246,0.9135321709885831,0.08646782901141693,0.9800503079191604,0.2616011796339665,0.3508543672478099,0.6124555468817764
Mahaska,2014-05,2014,5,22466,17122,3004,5781,4921,27,13733,413,436,804,3,1656,15389,Voter Registration/data_csv/2014-05.csv,NA,NA,0.1952043667554747,0.37565793748781595,0.31977386444863215,NA,0.5708623042432907,0.8923906686594321,0.10760933134056794,0.8987851886461862,0.19956780749912392,0.36310010512790564,0.5626679126270295
Marion,2014-05,2014,5,33280,25235,5305,8925,7516,24,21770,740,771,1248,2,2761,24531,Voter Registration/data_csv/2014-05.csv,NA,NA,0.2162569809628633,0.36382536382536385,0.3063878357996005,NA,0.5800823447882272,0.88744853450735806,0.11255146549264196,0.972102238953834,0.23954824648305925,0.38422825440855957,0.6237765008916188
Marshall,2014-05,2014,5,40712,30458,7139,7252,9083,20,23494,748,593,1172,2,2515,26009,Voter Registration/data_csv/2014-05.csv,NA,NA,0.2744819101080395,0.2788265600369103,0.3492252681764005,NA,0.5533084701449498,0.9033027029105309,0.09669729708946903,0.8539300019699257,0.2589467463392212,0.25756779827959814,0.5165145446188193
Mills,2014-05,2014,5,14763,11228,1873,4625,2982,18,9498,221,337,485,1,1044,10542,Voter Registration/data_csv/2014-05.csv,NA,NA,0.17767027129576932,0.4387213052551698,0.28286852589641437,NA,0.6163915765509391,0.9009675583380763,0.09903244166192374,0.9389027431421446,0.18649804061275382,0.4419308870680442,0.6284289276807979
Mitchell,2014-05,2014,5,10694,8105,1745,2454,2689,9,6897,117,106,210,0,433,7330,Voter Registration/data_csv/2014-05.csv,NA,NA,0.23806275579809005,0.33478854024556615,0.3668485675306958,NA,0.5728512960436563,0.9409276944065484,0.05907230559345157,0.904380012338063,0.2297347316471314,0.3158544108574954,0.5455891425046268
Monona,2014-05,2014,5,8898,6982,1938,1796,2354,5,6093,150,144,235,1,530,6623,Voter Registration/data_csv/2014-05.csv,NA,NA,0.29261663898535406,0.271176204137098,0.3554280537520761,NA,0.563792843122452,0.9199758417635513,0.08002415823644873,0.9485820681753079,0.29905471211687196,0.27785734746490975,0.5769120595817817
Monroe,2014-05,2014,5,7952,6060,1696,1440,1530,6,4672,100,75,150,2,327,4999,Voter Registration/data_csv/2014-05.csv,NA,NA,0.33926785357071415,0.28805761152230447,0.3060612122424485,NA,0.6273254650930187,0.9345869173834767,0.0654130826165233,0.824917491749175,0.2963696369636964,0.25,0.5463696369636963
Montgomery,2014-05,2014,5,10386,7996,1002,3623,2110,5,6740,162,309,436,0,907,7647,Voter Registration/data_csv/2014-05.csv,NA,NA,0.13103177716751668,0.47378056754282727,0.27592519942461097,NA,0.604812344710344,0.8813913953184255,0.11860860468157447,0.9563531765882941,0.1455727863931966,0.4917458729364682,0.6373186593296648
Muscatine,2014-05,2014,5,43032,32069,7576,7693,10456,33,25758,870,812,1540,2,3224,28982,Voter Registration/data_csv/2014-05.csv,NA,NA,0.26140362983921056,0.2654406183148161,0.36077565385411636,NA,0.5268442481540266,0.8887585397833138,0.11124146021668622,0.9037388131840719,0.26336960927999004,0.2652093922479653,0.5285790015279553
O'Brien,2014-05,2014,5,14045,10740,1312,5196,2751,9,9268,171,285,458,0,914,10182,Voter Registration/data_csv/2014-05.csv,NA,NA,0.12885484187782362,0.5103123158515026,0.27018267530936946,NA,0.6391671577293262,0.9102337458259674,0.08976625417403261,0.9480446927374302,0.13808193668528865,0.5103351955307263,0.6484171322160149
Osceola,2014-05,2014,5,6231,4777,506,2472,1109,4,4091,64,152,247,0,463,4554,Voter Registration/data_csv/2014-05.csv,NA,NA,0.1111111111111111,0.5428194993412385,0.243522178304787,NA,0.6539306104523497,0.8983311374615722,0.10166886253842776,0.9533179819970693,0.1193217500523341,0.549298723047938,0.6686204731002722
Page,2014-05,2014,5,15487,12322,1522,4119,3287,8,8936,256,375,783,3,1417,10353,Voter Registration/data_csv/2014-05.csv,NA,NA,0.14701052834927075,0.39785569400173865,0.31749251424707814,NA,0.5448662223510095,0.8631314594803439,0.13686854051965613,0.8402045122545041,0.1442947573445869,0.3647135205323811,0.509008277876968
Palo Alto,2014-05,2014,5,9120,7103,2298,1556,2214,5,6073,159,101,291,0,551,6624,Voter Registration/data_csv/2014-05.csv,NA,NA,0.34692028985507245,0.23490338164251207,0.3342391304347826,NA,0.5818236714975845,0.9168176328502415,0.08318236714975845,0.9325637054765592,0.3459101787976911,0.23328171195269604,0.5791918907503871
Plymouth,2014-05,2014,5,24918,18649,3116,7556,5527,21,16220,327,480,677,3,1487,17707,Voter Registration/data_csv/2014-05.csv,NA,NA,0.1759756028689219,0.42672389450499804,0.3121364432145479,NA,0.6026994973739199,0.9160219122380979,0.08397808776190208,0.949487908198831,0.18462115931149123,0.4309078234757896,0.6155289827872809
